Source,Date,Competitor,Title,Confidence,Notes,Episode Link
TRANSCRIPT,2025-12-19,"UNKNOWN","Did Nicky Smokes Ruin A Coworker's Christmas? | The Yak 12-19-25",MEDIUM,"Competitor needs to be identified from video/transcript",https://app.podscribe.com/episode/144565747
TITLE,2025-12-04,"Clay Guida","UFC Hall of Famer Clay Guida Takes On The Yak Gauntlet. Presented by @DrinkBODYARMOR",HIGH,"",https://app.podscribe.com/episode/142868443
TITLE,2025-11-11,"Kate","KATE WITH THE GRANNY SHOT IN THE GAUNTLET! Presented by @DrinkBODYARMOR",HIGH,"",https://app.podscribe.com/episode/141114310
TITLE,2025-11-04,"Cheah","Cheah Dominates the Gauntlet WHILE TAKING A PHONE CALL. Presented by @DrinkBODYARMOR",HIGH,"",https://app.podscribe.com/episode/140775009
TITLE,2025-10-21,"White Boy Rick","White Boy Rick Finally Takes on the Gauntlet. Presented by @DrinkBODYARMOR",HIGH,"",https://app.podscribe.com/episode/140272215
TITLE,2025-10-14,"Danny","KB Dissed Danny HARD After His Gauntlet Run. Presented by @planetfitness",HIGH,"",https://app.podscribe.com/episode/139932986
TITLE,2025-10-08,"Danny","Danny Gets ROASTED By KB After His Gauntlet Run. Presented by @planetfitness",HIGH,"",https://app.podscribe.com/episode/139704441
TITLE,2025-10-03,"Sam Morril","Sam Morril Sets a Comedian Gauntlet Record | Best of The Yak 10-3-25",HIGH,"",https://app.podscribe.com/episode/139490467
TITLE,2025-10-01,"Wyatt","Our Intern Wyatt Takes on the Gauntlet. Presented by @DrinkBODYARMOR",HIGH,"",https://app.podscribe.com/episode/139419487
TITLE,2025-09-24,"Joey Avery","Our Guy Joey Avery Runs the Yak Gauntlet. Presented by @DrinkBODYARMOR",HIGH,"",https://app.podscribe.com/episode/138104518
TITLE,2025-09-09,"Dana Beers","Dana Beers Takes On The Yak Gauntlet. Presented by @DrinkBODYARMOR",HIGH,"",https://app.podscribe.com/episode/137382158
TITLE,2025-08-19,"Billy the Pizza Man","Billy the Pizza Man Takes on the Yak Gauntlet. Presented by @DrinkBODYARMOR",HIGH,"",https://app.podscribe.com/episode/136752470
TITLE,2025-07-31,"KB","KB Takes On The @planetfitness Gauntlet With His New Haircut",HIGH,"",https://app.podscribe.com/episode/136135491
TITLE,2025-07-28,"Luke Combs","Luke Combs Takes Over The Yak and Dominates The Gauntlet | Best of The Yak 7-28-25",HIGH,"",https://app.podscribe.com/episode/136035414
TITLE,2025-07-07,"Sean Burke","White Sox Pitcher Sean Burke Sets New Gauntlet Record. Presented by @Ghostlifestyle",HIGH,"",https://app.podscribe.com/episode/135448409
TITLE,2025-07-07,"Shane Gillis","Shane Finally Takes on the Gauntlet. Presented by @DrinkBODYARMOR",HIGH,"",https://app.podscribe.com/episode/135448410
TITLE,2025-06-23,"Merrill Kelly","Merrill Kelly and Zac Gallen Take on The Gauntlet | Best of The Yak 6-23-25",HIGH,"Part of duo run",https://app.podscribe.com/episode/135043660
TITLE,2025-06-23,"Zac Gallen","Merrill Kelly and Zac Gallen Take on The Gauntlet | Best of The Yak 6-23-25",HIGH,"Part of duo run",https://app.podscribe.com/episode/135043660
TITLE,2025-06-17,"Big Cat","Big Cat Runs the Gauntlet While Holding an Ice Cream Cone. Presented by @DrinkBODYARMOR",HIGH,"",https://app.podscribe.com/episode/134884441
TITLE,2025-06-03,"Cheah","Cheah's Vampire Gauntlet Run. Presented by @DrinkBODYARMOR",HIGH,"",https://app.podscribe.com/episode/134421758
TITLE,2025-05-19,"Ebo","Is Ebo Top Contender to Beat Big Cat's Gauntlet Record? Presented by @planetfitness",HIGH,"",https://app.podscribe.com/episode/133707630
TITLE,2025-03-10,"Mike Katic","Our New Hire Mike Katic Takes on the Gauntlet. Presented by @Ghostlifestyle",HIGH,"",https://app.podscribe.com/episode/129219944
TITLE,2025-02-03,"Jerry O'Connell","Jerry O'Connell Takes on the Yak Gauntlet. Presented by @DrinkBODYARMOR",HIGH,"",https://app.podscribe.com/episode/123547287
TITLE,2025-01-06,"Nick Colletti","Nick Colletti Takes on the Yak Gauntlet. Presented by @DrinkBODYARMOR",HIGH,"",https://app.podscribe.com/episode/118956480
TITLE,2024-12-09,"Big Cat","Big Cat Almost Broke His Gauntlet Record...Presented by @DrinkBODYARMOR",HIGH,"",https://app.podscribe.com/episode/118103071
TITLE,2024-11-25,"Jerry O'Connell","Jerry Dominated the Yak Gauntlet. Presented by @DrinkBODYARMOR",HIGH,"",https://app.podscribe.com/episode/117690906
TITLE,2024-10-21,"Cole Kmet","Cole Kmet Takes On The Yak Gauntlet @DrinkBODYARMOR",HIGH,"",https://app.podscribe.com/episode/116532418
TITLE,2024-09-23,"Nick","Nick Almost Broke the Gauntlet Record @DrinkBODYARMOR",HIGH,"",https://app.podscribe.com/episode/113529073
TITLE,2024-04-11,"Jack Gohlke","Jack Gohlke Takes on the Yak Gauntlet #LongJohnSilvers",HIGH,"",https://app.podscribe.com/episode/98916581